Generación;Media;Maximo;Binarios;Minimo
1;0.505728612;0.705525278;0.692461824;0.202245928
2;0.607795835;0.705525278;110101110000011101010011001101;0.42428185
3;0.615357631;0.716870462;110110001100000000100111010100;0.42428185
4;0.615396009;0.732665897;110110110010000000100001111000;0.414165653
5;0.663005314;0.699795066;110101100010011101010011000110;0.411795861
6;0.689302907;0.698978374;110101100000011101010011000110;0.685975942
7;0.68735406;0.692461824;110101010000011101010001010110;0.685975942
8;0.686948201;0.692461824;110101010000011101010001010110;0.685975966
9;0.686867308;0.692461824;110101010000011101010001010110;0.685975966
10;0.687028962;0.692461824;110101010000011101010001010110;0.685974386
11;0.687434695;0.692462008;110101010000011101010011001101;0.685974385
12;0.688245111;0.692462008;110101010000011101010011001101;0.685974386
13;0.687515982;0.693274702;110101010010011101010001010110;0.685974386
14;0.688245656;0.693274702;110101010010011101010001010110;0.685974386
15;0.687596712;0.69327469;110101010010011101010001001110;0.685974386
16;0.652897788;0.695716382;110101011000011101010011001101;0.334921454
17;0.687110078;0.693274702;110101010010011101010001010110;0.685975966
18;0.687190984;0.693274702;110101010010011101010001010110;0.685975966
19;0.687190985;0.693274702;110101010010011101010001010110;0.685975966
20;0.687191143;0.693274702;110101010010011101010001010110;0.685975966
